NVIDIA CORPORATION,NASDAQ,NVDA
NETEASE,NASDAQ,NTES
VISA INC,NYSE,V
LEMAITRE VASCULAR INC,NASDAQ,LMAT
MARKETAXESS HOLDINGS,NASDAQ,MKTX
Aptiv PLC,NYSE,APTV
CBOE HOLDINGS INC,NASDAQ,CBOE
EXPEDIA GROUP,NASDAQ,EXPE
TRACTOR SUPPLY COMPANY,NASDAQ,TSCO
ANDEAVOR,NYSE,ANDV
STARBUCKS CORPORATION,NASDAQ,SBUX
INTEL CORPORATION - CO,NASDAQ,INTC
SCOTTS MIRACLE-GRO COMPANY,NYSE,SMG
WALMART INC,NYSE,WMT
ELI LILLY AND COMPANY,NYSE,LLY
QUALCOMM INCORPORATED,NASDAQ,QCOM
BROOKFIELD INFRASTRUCTURE PARTNERS LP,NYSE,BIP
MAGELLAN MIDSTREAM PARTNERS L.P,NYSE,MMP
MACQUARIE INFRASTRUCTU,NYSE,MIC
ENERGY TRANSFER PARTNERS LP,NYSE,ETP
W.R. BERKLEY CORPORATION,NYSE,WRB
DEERE & COMPANY,NYSE,DE
CME GROUP INC,NASDAQ,CME
HUNTSMAN CORPORATION C,NYSE,HUN
WESTERN DIGITAL CORPOR,NASDAQ,WDC
T. ROWE PRICE GROUP I,NASDAQ,TROW
MCDONALD'S CORPORATION,NYSE,MCD
PACKAGING CORPORATION OF AMERICA,NYSE,PKG
MOLSON COORS BREWING COMPANY,NYSE,TAP.A
GILEAD SCIENCES INC,NASDAQ,GILD
KIMBERLY-CLARK CORPORATION,NYSE,KMB
GENERAL MOTORS COMPANY,NYSE,GM
SEAGATE TECHNOLOGY PLC,NASDAQ,STX
ALTRIA GROUP,NYSE,MO
PHILIP MORRIS INTERNAT,NYSE,PM
NATIONAL CINEMEDIA IN,NASDAQ,NCMI
APOLLO COMMERCIAL REAL ESTATE FINANCE,NYSE,ARI
TWO HARBORS INVESTMENT CORP,NYSE,TWO
MASTERCARD INCORPORATED,NYSE,MA
DOLLAR GENERAL CORPORA,NYSE,DG
AMERICAN EXPRESS COMPA,NYSE,AXP
WD-40 COMPANY,NASDAQ,WDFC
BRISTOL-MYERS SQUIBB COMPANY,NYSE,BMY
CVS HEALTH CORPORATION,NYSE,CVS
CISCO SYSTEMS INC,NASDAQ,CSCO
VERIZON COMMUNICATIONS,NYSE,VZ
SEASPAN CORPORATION,NYSE,SSW
ENTERPRISE PRODUCTS PA,NYSE,EPD
KKR & CO L.P,NYSE,KKR
BITCOIN GROUP SE O.N,FRA,ADE
AUTOGRILL SPA,BIT,AGL
ALIBABA GROUP HOLDING,NYSE,BABA
CALAMP CORP,NASDAQ,CAMP
CTRIP.COM INTERNATIONA,NASDAQ,CTRP
GUIDEWIRE SOFTWARE IN,NYSE,GWRE
JD.COM INC,NASDAQ,JD
OSRAM LICHT AG NA O.N,FRA,OSR
SBA COMMUNICATIONS COR,NASDAQ,SBAC
SIEMENS GAMESA RENEWABLE ENERGY,BME,SGRE
TELEFONICA,BME,TEF
TESLA MOTORS INC,NASDAQ,TSLA
